question_id,question_text,construct,subject,correct_option,correct_text,incorrect_option,incorrect_text,has_math_symbols,misconception_id,misconception_desc,subject_cluster,difficulty,misconception_cluster,misconception_clusterId,misconception_merged,misconception_merged_id
0,"\[
3 \times 2+4-5
\]
Where do the brackets need to go to make the answer equal \( 13 \) ?",Use the order of operations to carry out calculations involving powers,BIDMAS,A,\( 3 \times(2+4)-5 \),D,"3    Does not need brackets
Name: AnswerText, dtype: object",True,1672,"Confuses the order of operations, believes addition comes before multiplication ",Core Mathematical Fundamentals,Medium,Fraction Arithmetic & Algebra,13,Fractions_Ratios,2
1,"Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)",Simplify an algebraic fraction by factorising the numerator,Simplifying Algebraic Fractions,D,Does not simplify,A,"4    \( m+1 \)
Name: AnswerText, dtype: object",True,2142,"Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term
","Fractions, Decimals & Conversions",Hard,Basic Operation Confusions,8,Fundamental_Arithmetic,1
1,"Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)",Simplify an algebraic fraction by factorising the numerator,Simplifying Algebraic Fractions,D,Does not simplify,B,"5    \( m+2 \)
Name: AnswerText, dtype: object",True,143,"Thinks that when you cancel identical terms from the numerator and denominator, they just disappear","Fractions, Decimals & Conversions",Hard,Ratio & Proportional Reasoning Errors,0,Fractions_Ratios,2
1,"Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)",Simplify an algebraic fraction by factorising the numerator,Simplifying Algebraic Fractions,D,Does not simplify,C,"6    \( m-1 \)
Name: AnswerText, dtype: object",True,2142,"Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term
","Fractions, Decimals & Conversions",Hard,Basic Operation Confusions,8,Fundamental_Arithmetic,1
2,"Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?",Calculate the range from a list of data,Range and Interquartile Range from a List of Data,B,"Only
Katie",A,"8    Only\r\nTom
Name: AnswerText, dtype: object",False,1287,Believes if you changed all values by the same proportion the range would not change,Core Mathematical Fundamentals,Medium,Negative Numbers & Inequalities,4,Algebra_Advanced_Math,3
2,"Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?",Calculate the range from a list of data,Range and Interquartile Range from a List of Data,B,"Only
Katie",C,"10    Both Tom and Katie
Name: AnswerText, dtype: object",False,1287,Believes if you changed all values by the same proportion the range would not change,Core Mathematical Fundamentals,Medium,Negative Numbers & Inequalities,4,Algebra_Advanced_Math,3
2,"Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?",Calculate the range from a list of data,Range and Interquartile Range from a List of Data,B,"Only
Katie",D,"11    Neither is correct
Name: AnswerText, dtype: object",False,1073,Believes if you add the same value to all numbers in the dataset the range will change,Core Mathematical Fundamentals,Medium,Negative Numbers & Inequalities,4,Algebra_Advanced_Math,3
3,The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.](),Recall and use the intersecting diagonals properties of a rectangle,Properties of Quadrilaterals,C,\( 90^{\circ} \),A,"12    acute
Name: AnswerText, dtype: object",False,1180,Does not know the properties of a rectangle,Geometry & Shapes,Hard,Fundamental Arithmetic Misconceptions,5,Fundamental_Arithmetic,1
3,The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.](),Recall and use the intersecting diagonals properties of a rectangle,Properties of Quadrilaterals,C,\( 90^{\circ} \),B,"13    obtuse
Name: AnswerText, dtype: object",False,1180,Does not know the properties of a rectangle,Geometry & Shapes,Hard,Fundamental Arithmetic Misconceptions,5,Fundamental_Arithmetic,1
3,The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.](),Recall and use the intersecting diagonals properties of a rectangle,Properties of Quadrilaterals,C,\( 90^{\circ} \),D,"15    Not enough information
Name: AnswerText, dtype: object",False,1180,Does not know the properties of a rectangle,Geometry & Shapes,Hard,Fundamental Arithmetic Misconceptions,5,Fundamental_Arithmetic,1
4,"The equation \( f=3 r^{2}+3 \) is used to find values in the table below. What is the value covered by the star? \begin{tabular}{|c|c|c|c|c|}
\hline\( r \) & \( 1 \) & \( 2 \) & \( 3 \) & \( 4 \) \\
\hline\( f \) & \( 6 \) & \( 15 \) & \( \color{gold}\bigstar \) & \\
\hline
\end{tabular}",Substitute positive integer values into formulae involving powers or roots,Substitution into Formula,A,\( 30 \),D,"19    \( 24 \)
Name: AnswerText, dtype: object",True,1818,Thinks you can find missing values in a given table by treating the row as linear and adding on the difference between the first two values given.,Core Mathematical Fundamentals,Hard,Ratio & Proportional Reasoning Errors,0,Fractions_Ratios,2
5,"James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?",Identify a unit of area,Area of Simple Shapes,D,\( \mathrm{mm}^{2} \),A,"20    \( m \)
Name: AnswerText, dtype: object",False,686,Does not know units of area should be squared,Geometry & Shapes,Medium,Fundamental Arithmetic Misconceptions,5,Fundamental_Arithmetic,1
5,"James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?",Identify a unit of area,Area of Simple Shapes,D,\( \mathrm{mm}^{2} \),B,"21    \( \mathrm{cm} \)
Name: AnswerText, dtype: object",False,686,Does not know units of area should be squared,Geometry & Shapes,Medium,Fundamental Arithmetic Misconceptions,5,Fundamental_Arithmetic,1
5,"James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?",Identify a unit of area,Area of Simple Shapes,D,\( \mathrm{mm}^{2} \),C,"22    \( \mathrm{km}^{3} \)
Name: AnswerText, dtype: object",False,686,Does not know units of area should be squared,Geometry & Shapes,Medium,Fundamental Arithmetic Misconceptions,5,Fundamental_Arithmetic,1
6,"Convert this percentage to a fraction
\( 62 \% \)",Convert two digit integer percentages to fractions,Converting between Fractions and Percentages,B,\( \frac{31}{50} \),A,"24    \( \frac{62}{10} \)
Name: AnswerText, dtype: object",False,329,Does not understand a percentage is out of 100,"Fractions, Decimals & Conversions",Easy,Simplification & Conversion Errors,9,Data_Conversions,5
6,"Convert this percentage to a fraction
\( 62 \% \)",Convert two digit integer percentages to fractions,Converting between Fractions and Percentages,B,\( \frac{31}{50} \),C,"26    \( \frac{6}{2} \)
Name: AnswerText, dtype: object",False,847,Thinks they can convert a 2 digit percentage to a fraction by writing one number over the other.,"Fractions, Decimals & Conversions",Easy,Spatial Reasoning & Estimation,7,Geometry_Spatial,4
6,"Convert this percentage to a fraction
\( 62 \% \)",Convert two digit integer percentages to fractions,Converting between Fractions and Percentages,B,\( \frac{31}{50} \),D,"27    None of these
Name: AnswerText, dtype: object",False,329,Does not understand a percentage is out of 100,"Fractions, Decimals & Conversions",Easy,Simplification & Conversion Errors,9,Data_Conversions,5
7,\( 43.2 \div 10= \),Divide decimals by 10,Multiplying and Dividing with Decimals,A,\( 4.32 \),B,"29    \( 0.432 \)
Name: AnswerText, dtype: object",True,2123,Divided by 100 rather than 10,"Fractions, Decimals & Conversions",Easy,Algebraic Expressions & Sequences,2,Algebra_Advanced_Math,3
