QuestionId,ConstructId,ConstructName,SubjectId,SubjectName,CorrectAnswer,QuestionText,Construct_Subject
0,856,Use the order of operations to carry out calculations involving powers,33,BIDMAS,A,"\[
3 \times 2+4-5
\]
Where do the brackets need to go to make the answer equal \( 13 \) ?",Use the order of operations to carry out calculations involving powers_BIDMAS
1,1612,Simplify an algebraic fraction by factorising the numerator,1077,Simplifying Algebraic Fractions,D,"Simplify the following, if possible: \( \frac{m^{2}+2 m-3}{m-3} \)",Simplify an algebraic fraction by factorising the numerator_Simplifying Algebraic Fractions
2,2774,Calculate the range from a list of data,339,Range and Interquartile Range from a List of Data,B,"Tom and Katie are discussing the \( 5 \) plants with these heights:
\( 24 \mathrm{~cm}, 17 \mathrm{~cm}, 42 \mathrm{~cm}, 26 \mathrm{~cm}, 13 \mathrm{~cm} \)
Tom says if all the plants were cut in half, the range wouldn't change.
Katie says if all the plants grew by \( 3 \mathrm{~cm} \) each, the range wouldn't change.
Who do you agree with?",Calculate the range from a list of data_Range and Interquartile Range from a List of Data
3,2377,Recall and use the intersecting diagonals properties of a rectangle,88,Properties of Quadrilaterals,C,The angles highlighted on this rectangle with different length sides can never be... ![A rectangle with the diagonals drawn in. The angle on the right hand side at the centre is highlighted in red and the angle at the bottom at the centre is highlighted in yellow.](),Recall and use the intersecting diagonals properties of a rectangle_Properties of Quadrilaterals
4,3387,Substitute positive integer values into formulae involving powers or roots,67,Substitution into Formula,A,"The equation \( f=3 r^{2}+3 \) is used to find values in the table below. What is the value covered by the star? \begin{tabular}{|c|c|c|c|c|}
\hline\( r \) & \( 1 \) & \( 2 \) & \( 3 \) & \( 4 \) \\
\hline\( f \) & \( 6 \) & \( 15 \) & \( \color{gold}\bigstar \) & \\
\hline
\end{tabular}",Substitute positive integer values into formulae involving powers or roots_Substitution into Formula
5,2052,Identify a unit of area,75,Area of Simple Shapes,D,"James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?",Identify a unit of area_Area of Simple Shapes
6,376,Convert two digit integer percentages to fractions,238,Converting between Fractions and Percentages,B,"Convert this percentage to a fraction
\( 62 \% \)",Convert two digit integer percentages to fractions_Converting between Fractions and Percentages
7,314,Divide decimals by 10,224,Multiplying and Dividing with Decimals,A,\( 43.2 \div 10= \),Divide decimals by 10_Multiplying and Dividing with Decimals
8,435,Subtract proper fractions with different denominators which do not share a common factor,230,Adding and Subtracting Fractions,A,"\(
\frac{4}{5}-\frac{1}{3}=\frac{\bigstar}{15}
\)
What should replace the star?",Subtract proper fractions with different denominators which do not share a common factor_Adding and Subtracting Fractions
9,1321,Identify horizontal translations in the form f(x) = for non-trigonometric functions,164,Transformations of functions in the form f(x),C,"What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)",Identify horizontal translations in the form f(x) = for non-trigonometric functions_Transformations of functions in the form f(x)
10,1414,Expand products of three binomials in the form (x + a)(x + b)(x + c),335,Expanding Triple Brackets and more,B,"John is expanding these three brackets:
\(
(x+5)(x-3)(x+6)
\)

He finds it helpful to split the first bracket and view the problem as follows:
\(
x(x-3)(x+6)+5(x-3)(x+6)
\)

He expands the brackets further. Before he simplifies, what are the terms than contain an \( \boldsymbol{x}^{2} \) ?",Expand products of three binomials in the form (x + a)(x + b)(x + c)_Expanding Triple Brackets and more
11,2456,Identify the net of a non-prism,85,Nets,D,This is the net of a... ![A circle touching a sector](),Identify the net of a non-prism_Nets
12,1756,Identify alternate angles,182,Angle Facts with Parallel Lines,A,"Tom and Katie are arguing about alternate angles.
Tom says angles \( p \) and \( q \) are alternate.

Katie says angles \( p \) and \( q \) are equal.
Who is correct? ![Shows two non parallel lines that are intersected by another line. Angles P and Q are both on the outside of the lines and on opposite sides of the transversal.]()",Identify alternate angles_Angle Facts with Parallel Lines
13,3065,Convert from hours to minutes,209,Time,B,"Hannah's journey to camp is \( 3 \) hours and \( 16 \) minutes.
Tori's journey to camp is \( 214 \) minutes.
What is the difference in their journeys in minutes?",Convert from hours to minutes_Time
14,1505,Select the correct answer to an iteration question to the required degree of accuracy,69,Trial and Improvement and Iterative Methods,D,"\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the solution to \( x=5-\frac{1}{x} \) to \( 2 \) decimal places?",Select the correct answer to an iteration question to the required degree of accuracy_Trial and Improvement and Iterative Methods
15,2578,Calculate the area of an equilateral triangle where the dimensions are given in the same units,75,Area of Simple Shapes,D,"How would you calculate the area of this triangle? ![A triangle, base 12m. All three sides are equal.]()",Calculate the area of an equilateral triangle where the dimensions are given in the same units_Area of Simple Shapes
16,695,"Divide a quantity into two parts for a given a ratio, where each part is an integer",241,Sharing in a Ratio,D,"In the diagram, AN : NB \( =3: 5 \) 
What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()","Divide a quantity into two parts for a given a ratio, where each part is an integer_Sharing in a Ratio"
17,1289,Prove statements involving odd and even numbers,210,Ordering Negative Numbers,D,Which of these shows part of the proof that the sum of two odd numbers is even?,Prove statements involving odd and even numbers_Ordering Negative Numbers
18,261,Carry out missing number subtraction problems involving negative integers,211,Adding and Subtracting Negative Numbers,B,"![Number line with -12 and -7 marked. Starting at -12, follow an arrow pointing to the right labelled +10. Then there is an arrow labelled b pointing to the left, which ends at -7 on the number line.]() What is the value of \( b \) ?",Carry out missing number subtraction problems involving negative integers_Adding and Subtracting Negative Numbers
19,1623,Subtract algebraic fractions where the denominators are single terms and are not multiples of each other,1078,Adding and Subtracting Algebraic Fractions,C,"Express the following as a single fraction, writing your answer as simply as possible: \( \frac{1}{s}-\frac{t}{3} \)",Subtract algebraic fractions where the denominators are single terms and are not multiples of each other_Adding and Subtracting Algebraic Fractions
20,2306,"Given the volume of a cuboid, work out missing information",189,Volume of Prisms,B,"The volume of this cuboid is \( 30 \mathrm{~cm}^{3} \)

What length should replace the star? ![A cuboid, depth 2cm and height 3cm. The width is labelled with a star.]()","Given the volume of a cuboid, work out missing information_Volume of Prisms"
21,1434,Factorise a quadratic expression in the form ax² + bx + c where a is prime,53,Factorising into a Double Bracket,B,"Step 1: Factorise the following expression

\(
3 x^{2}+5 x+2
\)",Factorise a quadratic expression in the form ax² + bx + c where a is prime_Factorising into a Double Bracket
22,69,"Given the solution to one problem, deduce the answer to a related problem using the same operation",203,Mental Addition and Subtraction,A,"Tom and Katie are discussing related calculations
Tom says if you know that \( 3748+426=4174 \), then \( 3748+427 \) must equal \( \mathbf{4 1 7 5} \)

Katie says if you know that \( 3748-426=3322 \), then \( 3748 \) - \( 427 \) must equal \( \mathbf{3 3 2 3} \)
Who is correct?","Given the solution to one problem, deduce the answer to a related problem using the same operation_Mental Addition and Subtraction"
23,2742,Interpret sloping linear sections of a displacement-time graph,58,Real Life Graphs,A,"This graph shows how far Fido the dog is from his home.
What might the negative-sloping section represent? ![A graph with time (secs) on the horizontal axis and distance (m) on the vertical axis. The graph starts at the origin, travels in a straight line up and right, travels horizontally, then travels in a straight line down and right back to the x-axis. ]()",Interpret sloping linear sections of a displacement-time graph_Real Life Graphs
24,3229,Solve missing number mental multiplication questions,204,Mental Multiplication and Division,B,"What should replace the star?
\[
\bigstar \times 4=108
\]",Solve missing number mental multiplication questions_Mental Multiplication and Division
25,1872,Calculate speed where distance and time are in the appropriate units,67,Substitution into Formula,A,"The formula for speed is
\(
\text { Speed }=\frac{\text { Distance }}{\text { Time }}
\)
A snail travels \( 4 \mathrm{~m} \) in \( 10 \) hours. What was its speed?",Calculate speed where distance and time are in the appropriate units_Substitution into Formula
26,1576,"Given a sketch of a circle with centre at the origin, write its equation in the form x² + y² = r²",159,Equation of a Circle,A,"What is the equation of this circle? ![A set of axes with a circle drawn. The circle goes through the points (4,0), (0, -4), (-4,0) and (0,4). ]()","Given a sketch of a circle with centre at the origin, write its equation in the form x² + y² = r²_Equation of a Circle"
27,1527,Substitute negative integer values into expressions involving no powers or roots,67,Substitution into Formula,C,If \( d=-2 \) what is the value of \( 10-2 d \) ?,Substitute negative integer values into expressions involving no powers or roots_Substitution into Formula
28,10,Count backwards in steps of of something other than one,200,Counting,C,"George is counting backwards in steps of \( 5 \).
He starts at the number \( 19,103 \) what is the next number he will say?",Count backwards in steps of of something other than one_Counting
29,1045,Solve linear inequalities in one variable where the unknown appears on boths sides of the equation,166,Solving Linear Inequalities,B,"Solve
\[
2 n+3 \leq 3 n-7
\]",Solve linear inequalities in one variable where the unknown appears on boths sides of the equation_Solving Linear Inequalities
30,3515,Determine the function of a single function machine used to create an algebraic expression,649,Function Machines,A,"Tom and Katie are discussing this function machine ![A function machine with an input of m+2, no function labelled and an output of 3m+2]() Tom says the function could be \( +2 m \)
Katie says the function could be \( \times 3 \)
Who do you agree with?",Determine the function of a single function machine used to create an algebraic expression_Function Machines
31,2028,Convert between cm and m,195,Length Units,A,\[450 \mathrm{~cm}=\] \[\square \mathrm{~m}\] ,Convert between cm and m_Length Units
32,1484,"Solve linear equations with the variable appearing on both sides, involving positive fractions",64,Linear Equations,D,"Which of the following is a correct first step to solve this equation:
\(\frac{2 r-3}{5}=2+r\)","Solve linear equations with the variable appearing on both sides, involving positive fractions_Linear Equations"
33,1560,Given a situation sketch an appropriate real life graph,58,Real Life Graphs,D,"Water is poured into a glass at a constant rate.

This graph shows how the depth \( (d) \) of water in a glass changes over time \( (t) \).

Which of the following glasses is this most likely to be the graph of? ![A depth-time graph which is a curve starting at (0, 0), with a steep gradient to begin with but then the gradient decreases and the graph levels off to almost horizontal.]()",Given a situation sketch an appropriate real life graph_Real Life Graphs
34,52,Find another power of 10 less than a given number,202,Place Value,C,"What number is \( 10,000 \) less than \( 901,426 \) ?",Find another power of 10 less than a given number_Place Value
35,380,Convert decimals less than 1 with 1 decimal place to percentages,239,Converting between Decimals and Percentages,A,"Convert this decimal to a percentage
\[
0.6
\]",Convert decimals less than 1 with 1 decimal place to percentages_Converting between Decimals and Percentages
36,1273,Simplify algebraic expressions to maintain equivalence by collecting like terms involving just one linear variable,251,Simplifying Expressions by Collecting Like Terms,C,"Simplify the following by collecting like terms.
\[
d+d+d+d
\]",Simplify algebraic expressions to maintain equivalence by collecting like terms involving just one linear variable_Simplifying Expressions by Collecting Like Terms
37,410,Simplify fractions that simplify to a unit fraction,227,Simplifying Fractions,C,"Write this fraction as simply as possible:
\(
\frac{9}{12}
\)",Simplify fractions that simplify to a unit fraction_Simplifying Fractions
38,1616,Add algebraic fractions where one denominator is a multiple of the other,1078,Adding and Subtracting Algebraic Fractions,A,"Write this as a single fraction as simply as possible:
\(
\frac{3}{2 x}+\frac{4}{x}
\)",Add algebraic fractions where one denominator is a multiple of the other_Adding and Subtracting Algebraic Fractions
39,3115,Carry out a subtraction problem with positive integers where the answer is less than 0,202,Place Value,B,\( 598-1000= \),Carry out a subtraction problem with positive integers where the answer is less than 0_Place Value
40,1561,Read values off a real life graph,58,Real Life Graphs,C,"Lethna pays at one rate for the first \( 100 \) units of electricity she uses. She pays at a different rate for all the other units of electricity she uses.

How much must she pay for using a total of \( 1000 \) units of electricity? ![A graph showing how the cost changes for different numbers of units. The first 100 units cost £0.25 per unit. Then the rate changes to £0.10 per unit.]()",Read values off a real life graph_Real Life Graphs
41,3225,Write a missing term of an ascending integer linear sequence,171,Linear Sequences (nth term),A,"The \( 1^{\text {st }} \) term in a linear sequence is \( 7 \).

The \( 4^{\text {th }} \) term of the sequence is \( 25 \).

What is the \( 8^{\text {th }} \) term of the sequence?",Write a missing term of an ascending integer linear sequence_Linear Sequences (nth term)
42,953,"Given a gradient, state the gradient of a line parallel to it",262,Parallel Lines,C,"A line has a gradient of \( 5 \)

A line parallel to this line would have a gradient of...","Given a gradient, state the gradient of a line parallel to it_Parallel Lines"
43,446,Divide proper fractions in the form: Fraction ÷ Integer,232,Dividing Fractions,B,Calculate: \( \frac{4}{8} \div 2 \),Divide proper fractions in the form: Fraction ÷ Integer_Dividing Fractions
44,2440,Identify a right-angled triangle when presented non-conventionally,175,Properties of Triangles,C,"\( A B C D \) is a rectangle.
What type of triangle is triangle \( \mathrm{BCD} \) ? ![Rectangle ABCD with the diagonal shown using a red dotted line]()",Identify a right-angled triangle when presented non-conventionally_Properties of Triangles
45,3176,"For a given algebraic input, find the output of a function machine",649,Function Machines,D,"![A function machine with 3 rectangles in a row, joined by arrows pointing from left to right. The first rectangle on the left has ""input"" written above it and ""5a + 2"" written inside it. The middle rectangle has ""✕ 2"" written inside it and the final rectangle is empty and has ""output"" written above it.]() What is the output of this function machine?","For a given algebraic input, find the output of a function machine_Function Machines"
46,3190,Represent an equation using a bar model,70,Writing Expressions,B,"![Tom and Katie are discussing bar models.]() Tom says this bar model represents \( 2 x \) \begin{tabular}{|l|l|}
\hline \( 2 \) & \( x \) \\
\hline
\end{tabular} Katie says this bar model represents \( 2 x \) \begin{tabular}{|l|l|}
\hline\( x \) & \( x \) \\
\hline
\end{tabular} Who do you agree with?",Represent an equation using a bar model_Writing Expressions
47,403,"Calculate the whole amount, given a fraction of the amount",225,Fractions of an Amount,C,"What should replace the star?
\(
\frac{1}{3} \text { of } \color{yellow}\bigstar\)\(=27
\)","Calculate the whole amount, given a fraction of the amount_Fractions of an Amount"
48,3516,Determine the input of a double function machine used to create an algebraic expression,649,Function Machines,B,input \(\Rightarrow-3 \Rightarrow \times 3 \Rightarrow 9a-21 \) What is the input of this function machine?,Determine the input of a double function machine used to create an algebraic expression_Function Machines
49,2238,Convert from years to days,209,Time,D,\( 2 \) leap years \( =\square \) days,Convert from years to days_Time
50,316,Divide decimals by 1000,202,Place Value,A,"What is the value of:
\[
23.04 \div 1000
\]",Divide decimals by 1000_Place Value
51,3279,Multiply 3 digit integers by 1 digit integers using the grid method,204,Mental Multiplication and Division,D,\( 427 \times 6= \),Multiply 3 digit integers by 1 digit integers using the grid method_Mental Multiplication and Division
52,3132,Write algebraic expressions with correct algebraic convention,70,Writing Expressions,A,"Which answer shows the following calculation using the correct algebraic convention?
\(
b \div a
\)",Write algebraic expressions with correct algebraic convention_Writing Expressions
53,3346,Identify the order of rotational symmetry of a shape,88,Properties of Quadrilaterals,B,"In which region would a rectangle belong? ![Venn diagram with two circles labelled with 'exactly two lines of symmetry' and 'rotational symmetry of order 2'. A is in the only exactly two lines of symmetry region, B is in the intersection, C is in the only rotational symmetry of order 2 region and D is outside the two circles.]()",Identify the order of rotational symmetry of a shape_Properties of Quadrilaterals
54,399,Identify non-unit fractions when part of a shape,225,Fractions of an Amount,D,What fraction of the rectangle is shaded? ![A rectangle split into 10 equal parts with 3 parts shaded in yellow](),Identify non-unit fractions when part of a shape_Fractions of an Amount
55,95,Complete missing number mental subtraction problems up to 100,203,Mental Addition and Subtraction,A,What should replace the star? \( \bigstar-37=38 \),Complete missing number mental subtraction problems up to 100_Mental Addition and Subtraction
56,704,Represent written scenarios as ratios,334,Writing Ratios,A,"For every \( 5 \) marbles Karen has, Marty has three times as many.

Write the number of marbles Karen and Marty have as a ratio, with Karen's part first.",Represent written scenarios as ratios_Writing Ratios
57,1961,Identify questions involving a 2D right-angled triangle that require the use of the Tangent (tan) ratio,279,Right-angled Triangles (SOHCAHTOA),C,"Which ratio would you use to find the value of \( p \) ? ![A right-angled triangle where the angle is 52 degrees, the side next to this is p and the side opposite is 6cm.]()",Identify questions involving a 2D right-angled triangle that require the use of the Tangent (tan) ratio_Right-angled Triangles (SOHCAHTOA)
58,1030,Represent a linear inequality with a single tail on a numberline,165,Inequalities on Number Lines,C,Which of the following diagrams represents \( x>-1 \) ?,Represent a linear inequality with a single tail on a numberline_Inequalities on Number Lines
59,578,Calculate percentage of an amount mentally where the percent is greater than 100,233,Percentages of an Amount,B,\( 130 \% \) of \( 40= \),Calculate percentage of an amount mentally where the percent is greater than 100_Percentages of an Amount
60,410,Simplify fractions that simplify to a unit fraction,229,Converting Mixed Number and Improper Fractions,C,Write the following fraction in its simplest form: \( 3 \frac{7}{21} \),Simplify fractions that simplify to a unit fraction_Converting Mixed Number and Improper Fractions
61,3118,Read a fraction on a scale where the required number is marked by a dash between two numbers,228,Ordering Fractions,B,"What fraction should replace the star? ![A number line marked with 1/4, 2/4, 3/4, 4/4, 5/4. The star is halfway between 2/4 and 3/4.]()",Read a fraction on a scale where the required number is marked by a dash between two numbers_Ordering Fractions
62,2790,Calculate the mean from a frequency table,340,Averages and Range from Frequency Table,C,"This table shows the number of pets a group of students owns.
If calculating the mean number of pets owned, what would replace the star? \begin{tabular}{|c|c|c|}
\hline Number of pets & Frequency & \\
\hline \( 0 \) & \( 9 \) & \\
\hline \( 1 \) & \( 5 \) & \\
\hline \( 2 \) & \( 4 \) & \( \color{gold}\bigstar \)
\hline \( 3 \) & \( 2 \) & \\
\hline \( 4 \) & \( 3 \) & \\
\hline
\end{tabular}",Calculate the mean from a frequency table_Averages and Range from Frequency Table
63,180,Subtract integers up to 4 digits using a written method where carrying is needed,206,Written Subtraction,A,"What number should replace the star? \begin{tabular}{cccc}
\(\space\) & \( 9 \) & \( 3 \) & \( 5 \) & \( 2 \) \\
\(-\) & \(4\) & \(5\) & \(7\) & \(\bigstar\)\\
\(\space\) & \(4\) & \(7\) & \(7\) & \(3\)\\
\end{tabular}",Subtract integers up to 4 digits using a written method where carrying is needed_Written Subtraction
64,1467,"Solve one-step linear equations requiring multiplication or division, involving positive decimals",64,Linear Equations,B,"Solve the equation:
\[
0.45=0.3 p
\]","Solve one-step linear equations requiring multiplication or division, involving positive decimals_Linear Equations"
