QuestionId,AnswerType,AnswerText,MisconceptionId
0,A,\( 3 \times(2+4)-5 \),
0,B,\( 3 \times 2+(4-5) \),
0,C,\( 3 \times(2+4-5) \),
0,D,Does not need brackets,1672.0
1,A,\( m+1 \),2142.0
1,B,\( m+2 \),143.0
1,C,\( m-1 \),2142.0
1,D,Does not simplify,
2,A,"Only
Tom",1287.0
2,B,"Only
Katie",
2,C,Both Tom and Katie,1287.0
2,D,Neither is correct,1073.0
3,A,acute,1180.0
3,B,obtuse,1180.0
3,C,\( 90^{\circ} \),
3,D,Not enough information,1180.0
4,A,\( 30 \),
4,B,\( 27 \),
4,C,\( 51 \),
4,D,\( 24 \),1818.0
5,A,\( m \),686.0
5,B,\( \mathrm{cm} \),686.0
5,C,\( \mathrm{km}^{3} \),686.0
5,D,\( \mathrm{mm}^{2} \),
6,A,\( \frac{62}{10} \),329.0
6,B,\( \frac{31}{50} \),
6,C,\( \frac{6}{2} \),847.0
6,D,None of these,329.0
7,A,\( 4.32 \),
7,B,\( 0.432 \),2123.0
7,C,\( 33.2 \),2273.0
7,D,\( 43.02 \),2133.0
8,A,\( 7 \),
8,B,\( 5 \),907.0
8,C,\( 17 \),1514.0
8,D,\( 3 \),907.0
9,A,"Translation by vector
\(
\left[\begin{array}{l}
0 \\
3
\end{array}\right]
\)",1889.0
9,B,"Translation by vector
\(
\left[\begin{array}{c}
0 \\
-3
\end{array}\right]
\)",1234.0
9,C,"Translation by vector
\(
\left[\begin{array}{l}
3 \\
0
\end{array}\right]
\)",
9,D,"Translation by vector
\(
\left[\begin{array}{r}
-3 \\
0
\end{array}\right]
\)",1312.0
10,A,\( +6 x^{2} \),
10,B,\( \begin{array}{l}+6 x^{2} \\ -3 x^{2} \\ +5 x^{2}\end{array} \),
10,C,\( \begin{array}{l}+6 x^{2} \\ +3 x^{2} \\ +5 x^{2}\end{array} \),583.0
10,D,\( \begin{array}{l}+6 x^{2} \\ -3 x^{2} \\ -5 x^{2}\end{array} \),
11,A,Triangle,690.0
11,B,Triangular prism,690.0
11,C,Triangularbased pyramid,690.0
11,D,Cone,
12,A,"Only
Tom",
12,B,"Only
Katie",2156.0
12,C,Both Tom and Katie,2156.0
12,D,Neither is correct,1588.0
13,A,\( 196 \) minutes,
13,B,\( 18 \) minutes,
13,C,\( 102 \) minutes,161.0
13,D,\( 12 \) minutes,
14,A,\( 4.78 \),1775.0
14,B,\( 4.79128 \ldots \),1248.0
14,C,\( 4.8 \),1529.0
14,D,\( 4.79 \),
15,A,\( \frac{6 \times 12}{2} \),
15,B,\( \frac{12 \times 12}{2} \),590.0
15,C,\( \frac{12 \times 12 \times 12}{2} \),71.0
15,D,None of these,
16,A,\( 16 \mathrm{~m} \),2378.0
16,B,\( 30 \mathrm{~m} \),105.0
16,C,\( 6 \mathrm{~m} \),1659.0
16,D,\( 18 \mathrm{~m} \),
17,A,\( \begin{array}{l}2 n+(2 m+1) \\ =2(n+m)+1\end{array} \),616.0
17,B,\( \begin{array}{l}(2 n-1)(2 m+1) \\ =4 m n+2 n-2 m-1 \\ =2(2 m n-n-m)+1\end{array} \),2130.0
17,C,\( \begin{array}{l}\text { Odd + Odd } \\ =\text { even }\end{array} \),616.0
